Baseline,Pass@1_Mean,Pass@1_95CI,Pass@4_Mean,Pass@4_95CI,Diversity_Ratio,Retention_Score,Total_FLOPs
B0_NTP,0.044761044584419395,"[0.027, 0.066]",0.12573696705746004,"[0.115, 0.132]",0.042757098684856464,0.88,98000000000.0
B1_SFT,0.3857785015760798,"[0.359, 0.415]",0.5450553013486722,"[0.543, 0.546]",0.019575689372764524,0.88,25000000000.0
B2_Sequential,0.42323955941592395,"[0.414, 0.435]",0.5770704532033594,"[0.573, 0.580]",0.027708433933258423,0.85,75000000000.0
B3_EarlyRL,0.35742524015319743,"[0.350, 0.368]",0.4806576046650443,"[0.464, 0.513]",0.04599438414500148,0.88,76000000000.0
B4_PeriodicRL,0.3996863161606594,"[0.377, 0.418]",0.5477768816536861,"[0.530, 0.578]",0.04307991259833507,0.88,76000000000.0
B5_RandomRL,0.40692181413855494,"[0.374, 0.439]",0.5405499497249618,"[0.515, 0.557]",0.0445128480011111,0.88,72000000000.0
B6_FixedMixture,0.40818107383220603,"[0.388, 0.421]",0.5384398875701681,"[0.525, 0.552]",0.031005357177033403,0.88,69000000000.0
B7_CARLS,0.4678760828700324,"[0.454, 0.483]",0.6269145162208805,"[0.617, 0.637]",0.03713999073774001,0.94,61000000000.0
